,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
474,Guinea,2015-05-24, Confirmed,3210,43,2001
475,Guinea,2015-05-24, Total,3641,43,2420
476,Guinea,2015-05-24, Probable,419,Not reported.,419
477,Guinea,2015-05-24, Total,3641,,2420
478,Guinea,2015-05-24, Confirmed,3210,,2001
479,Guinea,2015-05-24, Suspected,12,,Not available
480,Guinea,2015-05-26, Suspected,6,,Not available
481,Guinea,2015-05-26, Probable,419,,419
482,Guinea,2015-05-26, Confirmed,3214,,2004
483,Guinea,2015-05-26, Total,3639,,2423
484,Guinea,2015-05-27, Probable,419,,419
485,Guinea,2015-05-27, Total,3644,,2425
486,Guinea,2015-05-27, Confirmed,3216,,2006
487,Guinea,2015-05-27, Suspected,9,,Not available
488,Guinea,2015-05-30, Confirmed,3220,,2009
489,Guinea,2015-05-30, Suspected,14,,Not available
490,Guinea,2015-05-30, Probable,419,,419
491,Guinea,2015-05-30, Total,3653,,2428
492,Guinea,2015-05-31, Suspected,10,Not reported.,Data not available.
493,Guinea,2015-05-31, Confirmed,3223,49,2010
494,Guinea,2015-05-31, Confirmed,3223,,2010
495,Guinea,2015-05-31, Probable,419,,419
496,Guinea,2015-05-31, Suspected,10,,Not available
497,Guinea,2015-05-31, Total,3652,,2429
498,Guinea,2015-05-31, Total,3652,49,2429
499,Guinea,2015-05-31, Probable,419,Not reported.,419
500,Guinea,2015-06-02, Total,3657,,2431
501,Guinea,2015-06-02, Suspected,11,,Not available
502,Guinea,2015-06-02, Probable,419,,419
503,Guinea,2015-06-02, Confirmed,3227,,2012
504,Guinea,2015-06-03, Probable,419,,419
505,Guinea,2015-06-03, Confirmed,3228,,2012
506,Guinea,2015-06-03, Suspected,17,,Not available
507,Guinea,2015-06-03, Total,3664,,2431
508,Guinea,2015-06-06, Probable,419,,419
509,Guinea,2015-06-06, Total,3669,,2435
510,Guinea,2015-06-06, Suspected,13,,Not available
511,Guinea,2015-06-06, Confirmed,3237,,2016
512,Guinea,2015-06-07, Total,3670,38,2437
513,Guinea,2015-06-07, Suspected,12,Not reported.,Data not available.
